basin_id,sum(msi_paras)
05550001,0.639840
03193000,0.692508
09260050,0.565113
10261100,0.434213
01547200,0.650924
03076500,0.669531
03338780,0.661827
11413000,0.455249
02296500,0.656456
06699005,0.538032
02055000,0.661721
08068090,0.646961
13152500,0.494117
02234000,0.697353
11464000,0.484023
03323500,0.668953
02019500,0.678201
07099970,0.601398
04082400,0.635913
02374250,0.687103
05570000,0.655514
02217500,0.675857
07378000,0.676106
14211720,0.621443
07375500,0.675708
06799350,0.623403
10296500,0.446108
05429700,0.620668
04124200,0.634877
14301000,0.622773
07047950,0.663586
03599240,0.690397
07049000,0.645795
04067958,0.617304
08LE024,0.530377
14046500,0.571833
04069416,0.627990
03276000,0.665883
09034250,0.503884
07305000,0.598909
05421000,0.619695
05400760,0.627001
08EF001,0.570597
07138070,0.659835
07BK001,0.595516
14316700,0.563141
04059000,0.608344
11493500,0.521903
02096500,0.674351
04027000,0.610864
06928430,0.660046
07171000,0.636027
01173500,0.625499
12351200,0.540567
02303330,0.672806
08032000,0.640760
01321000,0.607130
11372000,0.495949
04146063,0.637000
05551000,0.641878
06354882,0.577040
03324300,0.662418
07GH002,0.610620
06191500,0.493880
06192500,0.517946
03175500,0.680321
06BA002,0.589535
03CB004,0.565692
09482000,0.537558
02213000,0.688069
01152500,0.629383
14120000,0.537823
02338500,0.697414
02135000,0.690359
03025500,0.659545
03251200,0.679975
02210500,0.684599
05482500,0.615696
05QA002,0.600597
05508805,0.640771
06926510,0.674533
06891000,0.660793
04067500,0.626911
08ND013,0.507475
05486490,0.631842
09152500,0.554033
05084000,0.566029
01668000,0.668389
01543000,0.637116
01618000,0.676641
09447000,0.580164
04228500,0.657786
04066800,0.625520
03203600,0.681055
01608000,0.664326
05051522,0.604535
02011800,0.660657
02226000,0.706328
05440700,0.641661
03270500,0.673738
03453500,0.694738
11469000,0.524629
06869950,0.589319
07AH002,0.587132
10159500,0.521026
06807410,0.627098
02UC002,0.558249
02323000,0.703118
06810000,0.635108
08055500,0.623028
01200500,0.638550
02354500,0.665621
13077000,0.547096
03165500,0.669870
05KG002,0.573886
02GD004,0.640652
07195500,0.651358
03250500,0.697110
07140000,0.663459
02358754,0.715528
11517000,0.507479
11070365,0.449189
02481880,0.669215
14155500,0.590351
04DC002,0.566595
14162500,0.532041
14377100,0.540047
06473000,0.603164
01170500,0.627382
08KD006,0.600137
12457000,0.461709
01451000,0.641288
08180800,0.599746
11012000,0.454845
03277500,0.683805
03266000,0.663468
08186500,0.594667
03475000,0.679295
05244000,0.600428
14339000,0.545465
05434500,0.628576
03157500,0.671124
04136900,0.633271
01573560,0.656868
07GE001,0.601362
08098290,0.663108
06414000,0.613834
07050700,0.648450
06020600,0.560849
